#Gene	chrom	start	end	Pathogenic_Lower_Bound	Motif
GeneID,PathogenicLowerBound,SimulatedSize,STR_Tool,Rank,Zscore||Pval
GLE1,200,200,EHDN_Locus,2,34.300
GLE1,200,200,EHDN_Motif,2,23.100
GLE1,200,200,STRetch,1,2.5e-46
MDM2,200,200,EHDN_Locus,1,40.730
MDM2,200,200,EHDN_Motif,1,68.600
MDM2,200,200,STRetch,1,3.4e-49
RFT1,200,200,EHDN_Locus,2,26.800
RFT1,200,200,EHDN_Motif,6,6.330
CD151,200,200,EHDN_Locus,2,32.150
CD151,200,200,EHDN_Motif,1,98.600
CD151,200,200,STRetch,1,3.5e-41
SMPD1,200,200,EHDN_Locus,1,41.800
SMPD1,200,200,EHDN_Motif,1,131.830
SMPD1,200,200,STRetch,1,4.2e-45
ARL3,200,200,EHDN_Locus,1,41.800
ARL3,200,200,EHDN_Motif,0,0.000
ARL3,200,200,STRetch,652,0.74
CEP135,200,200,EHDN_Locus,2,38.590
CEP135,200,200,EHDN_Motif,1,127.550
CD151,200,200,EHDN_Locus,2,32.150
CD151,200,200,EHDN_Motif,2,45.110
CD151,200,200,STRetch,0,.
SLC1A4,200,200,EHDN_Locus,2,31.080
SLC1A4,200,200,EHDN_Motif,1,69.670
SLC1A4,200,200,STRetch,0,.
BSCL2,200,200,EHDN_Locus,2,34.300
BSCL2,200,200,EHDN_Motif,4,8.760
BSCL2,200,200,STRetch,1,3.5e-41
ALOX5,200,200,EHDN_Locus,2,33.230
ALOX5,200,200,EHDN_Motif,1,117.900
ALOX5,200,200,STRetch,1,1.7e-44
FRA10AC1,200,200,EHDN_Locus,1,66.450
FRA10AC1,200,200,EHDN_Motif,1,48.310
FRA10AC1,200,200,STRetch,1,1.1e-52
TUBB4B,200,200,EHDN_Locus,2,38.590
TUBB4B,200,200,EHDN_Motif,1,45.120
TUBB4B,200,200,STRetch,0,.
PAH,200,200,EHDN_Locus,2,36.440
PAH,200,200,EHDN_Motif,1,38.810
PAH,200,200,STRetch,1,3.4e-43
