#Gene	chrom	start	end	Pathogenic_Lower_Bound	Motif
GeneID,PathogenicLowerBound,Motif,SimulatedSize,STR_Tool,Rank,Zscore||Pval
GLE1,200,ATCT,200,EHDN_Locus,1,43.940
GLE1,200,ATCT,200,EHDN_Motif,0,0.000
GLE1,200,ATCT,200,STRetch,1,6.4e-47
MDM2,200,GTTT,200,EHDN_Locus,2,33.230
MDM2,200,GTTT,200,EHDN_Motif,1,23.580
MDM2,200,GTTT,200,STRetch,1,4.2e-45
RFT1,200,AC,200,EHDN_Locus,2,33.230
RFT1,200,AC,200,EHDN_Motif,0,0.000
RFT1,200,AC,200,STRetch,1,3.5e-41
CD151,200,CGGGG,200,EHDN_Locus,2,32.150
CD151,200,CGGGG,200,EHDN_Motif,1,33.230
CD151,200,CGGGG,200,STRetch,1,1.8e-40
SMPD1,200,CGCTGG,200,EHDN_Locus,1,40.730
SMPD1,200,CGCTGG,200,EHDN_Motif,1,49.300
SMPD1,200,CGCTGG,200,STRetch,1,4.2e-45
ARL3,200,CCT,200,EHDN_Locus,1,42.870
ARL3,200,CCT,200,EHDN_Motif,0,0.000
ARL3,200,CCT,200,STRetch,0,.
CEP135,200,AAAAAC,200,EHDN_Locus,2,35.370
CEP135,200,AAAAAC,200,EHDN_Motif,1,46.090
CEP135,200,AAAAAC,200,STRetch,1,6.4e-47
SLC1A4,200,GTTT,200,EHDN_Locus,2,28.940
SLC1A4,200,GTTT,200,EHDN_Motif,1,21.440
SLC1A4,200,GTTT,200,STRetch,0,.
BSCL2,200,GT,200,EHDN_Locus,2,33.230
BSCL2,200,GT,200,EHDN_Motif,0,0.000
BSCL2,200,GT,200,STRetch,1,3.5e-41
ALOX5,200,CGGGGG,200,EHDN_Locus,1,48.230
ALOX5,200,CGGGGG,200,EHDN_Motif,1,39.660
ALOX5,200,CGGGGG,200,STRetch,1,5.4e-50
FRA10AC1,200,CCG,200,EHDN_Locus,1,85.750
FRA10AC1,200,CCG,200,EHDN_Motif,3,11.830
FRA10AC1,200,CCG,200,STRetch,1,2.9e-57
TUBB4B,200,CCG,200,EHDN_Locus,1,40.730
TUBB4B,200,CCG,200,EHDN_Motif,7,4.310
TUBB4B,200,CCG,200,STRetch,0,.
PAH,200,AGC,200,EHDN_Locus,1,42.870
PAH,200,AGC,200,EHDN_Motif,7,5.800
PAH,200,AGC,200,STRetch,1,1.7e-47
