locus	mu	sd	n
chr1-10000-10468	4.318535230719963	0.7715154225288237	150
chr1-100118157-100118304	1.3904493646158633	0.2793416296556143	150
chr1-100148610-100148647	1.389799508383934	0.27888375837620966	150
chr1-100443106-100443148	1.3910061881322096	0.27677626102066466	150
chr1-10095447-10095472	1.3904493646158633	0.2793416296556143	150
chr1-101033531-101033677	1.3905199435027225	0.2811819287303103	150
chr1-101388560-101388591	1.3904493646158633	0.2793416296556143	150
chr1-10161556-10161584	1.390144949755896	0.2794507948305276	150
chr1-101721617-101721657	1.3904493646158633	0.2793416296556143	150
chr1-101726729-101726758	1.3904493646158633	0.2793416296556143	150
chr1-101838703-101838741	1.3904493646158633	0.2793416296556143	150
chr1-102123410-102123592	1.3904493646158633	0.2793416296556143	150
chr1-102841361-102841420	1.3904493646158633	0.2793416296556143	150
chr1-103007716-103007748	1.389799508383934	0.27888375837620966	150
chr1-103325958-103325987	1.3907155657018389	0.2786049924872968	150
chr1-103432783-103432814	1.3904493646158633	0.2793416296556143	150
chr1-103472082-103472111	1.3907155657018389	0.2786049924872968	150
chr1-103635878-103635903	1.3907155657018389	0.2786049924872968	150
chr1-103696062-103696148	1.3918896362409965	0.2828678330277517	150
chr1-104271817-104271853	1.3909457241252854	0.27727295063084845	150
chr1-104579279-104579350	1.3930288382139049	0.28637182554153545	150
chr1-105052507-105052544	1.3890945026206731	0.276090876858147	150
chr1-105157804-105157851	1.3890945026206731	0.276090876858147	150
chr1-105312811-105312881	1.396353830049407	0.2861168847391024	150
chr1-105556143-105556182	1.3907155657018389	0.2786049924872968	150
chr1-106250385-106250437	1.390144949755896	0.2794507948305276	150
chr1-10637619-10637667	1.3924129976521091	0.2813541877436554	150
chr1-10646685-10646714	1.390144949755896	0.2794507948305276	150
chr1-106839464-106839506	1.3910061881322096	0.27677626102066466	150
chr1-10877980-10878096	1.3914933034984223	0.2816667025209548	150
chr1-108799146-108799237	1.3904493646158633	0.2793416296556143	150
chr1-10884689-10884740	1.3914933034984223	0.28166670252095477	150
chr1-109030937-109030988	1.3918896362409965	0.2828678330277517	150
chr1-109597701-109597760	1.3959286763311394	0.276090876858147	150
chr1-109630113-109630145	1.3894094427730124	0.2775710989487154	150
chr1-10987587-10987623	1.389799508383934	0.27888375837620966	150
chr1-11043102-11043147	1.392854853110488	0.2833687742278909	150
chr1-110511650-110511690	1.3890945026206731	0.276090876858147	150
chr1-11096567-11096605	1.3926922219796636	0.2794429888600684	150
chr1-111000661-111000718	1.3918896362409965	0.2828678330277517	150
chr1-111119274-111119386	1.394359821128861	0.28824462660860356	150
chr1-11179630-11179656	1.3915838220598569	0.28298226304438806	150
chr1-112162488-112162541	1.3912308826414295	0.28241059787650086	150
chr1-112231418-112231474	1.3890945026206731	0.276090876858147	150
chr1-112565392-112565418	1.3890945026206731	0.276090876858147	150
chr1-112747925-112747955	1.3904493646158633	0.2793416296556143	150
chr1-112835105-112835214	1.3904493646158633	0.2793416296556143	150
chr1-112837644-112837669	1.3942766913818632	0.2865693096020062	150
chr1-112919148-112919194	1.3907155657018389	0.2786049924872968	150
chr1-112921769-112921799	1.389799508383934	0.27888375837620966	150
chr1-113093760-113093788	1.389799508383934	0.27888375837620966	150
chr1-113099588-113099641	1.3904493646158633	0.2793416296556143	150
chr1-113249052-113249160	1.436685551845871	0.3642720147498806	150
chr1-113390189-113390231	1.3939489213917167	0.2838223644250869	150
chr1-113564783-113564814	1.3910061881322093	0.2767762610206646	150
chr1-113565233-113565264	1.393548247558297	0.2826808393486831	150
chr1-113905562-113905613	1.3915838220598569	0.28298226304438806	150
chr1-114045841-114045879	1.4233729842767289	0.3444802511714406	150
chr1-114166065-114166110	1.389799508383934	0.27888375837620966	150
chr1-114175860-114175901	1.3939093817306516	0.2832535750045904	150
chr1-114665103-114665129	1.3910061881322096	0.27677626102066466	150
chr1-115030525-115030552	1.3904493646158633	0.2793416296556143	150
chr1-115332560-115332601	1.3901655927434369	0.28058144698149146	150
chr1-115399757-115399799	1.3907155657018389	0.2786049924872968	150
chr1-115879868-115879926	1.4391837514297914	0.3936262575903165	150
chr1-116265863-116265976	1.3904493646158633	0.2793416296556143	150
chr1-116304023-116304151	1.3890945026206731	0.276090876858147	150
chr1-11704943-11704969	1.3894094427730124	0.2775710989487154	150
chr1-117078462-117078490	1.3904493646158633	0.2793416296556143	150
chr1-117123942-117123967	1.3904493646158633	0.2793416296556143	150
chr1-118950924-118950961	1.3908266397253988	0.2810824552123665	150
chr1-119558780-119558811	1.3917801221088795	0.27972259316948533	150
chr1-119678317-119678385	1.3904493646158633	0.2793416296556143	150
chr1-119993233-119993283	1.3890945026206731	0.276090876858147	150
chr1-120008046-120008074	1.389799508383934	0.27888375837620966	150
chr1-120226070-120226110	1.390144949755896	0.2794507948305276	150
chr1-120319139-120319181	1.390144949755896	0.2794507948305276	150
chr1-120873144-120873171	1.3904493646158633	0.2793416296556143	150
chr1-120898878-120898904	1.390144949755896	0.2794507948305276	150
chr1-120907437-120907469	1.390144949755896	0.2794507948305276	150
chr1-12102712-12102758	1.3904493646158633	0.2793416296556143	150
chr1-12234181-12234324	1.393810144780582	0.28889161943743225	150
chr1-13005810-13005853	1.3907155657018389	0.2786049924872968	150
chr1-13378452-13378481	1.389799508383934	0.27888375837620966	150
chr1-134065-134094	1.3904493646158633	0.2793416296556143	150
chr1-13713201-13713226	1.3904493646158633	0.2793416296556143	150
chr1-14020639-14020675	1.3917801221088795	0.27972259316948533	150
chr1-142535604-142535866	1.434402824145775	0.276090876858147	150
chr1-142535944-142536016	1.4474003691081418	0.39688839446698215	150
chr1-142536099-142536276	1.4414178046468284	0.38184950906639714	150
chr1-142536353-142536459	1.3909457241252854	0.27727295063084845	150
chr1-142536537-142536768	1.4151657502384571	0.276090876858147	150
chr1-142536842-142537226	1.4321569403761858	0.36576717089407645	150
chr1-142537304-142537489	1.407836700039074	0.31652804099900156	150
chr1-142537574-142537908	1.4543908602854834	0.411869072881739	150
chr1-142537987-142538276	1.3959286763311394	0.276090876858147	150
chr1-142538353-142538499	1.4174165570604635	0.3335279703867965	150
chr1-142538500-142538671	5.364036515450616	1.0343906734380925	150
chr1-142538607-142538734	1.3959286763311394	0.276090876858147	150
chr1-142538809-142539109	1.6454177158917305	0.7121077944719586	150
chr1-142539214-142539438	1.4239057308311316	0.3572052083324946	150
chr1-142539518-142539831	1.4181757649244549	0.34170142971108153	150
chr1-142539940-142540271	3.984284768342879	0.8351984999288574	150
chr1-142540389-142540636	3.413932093919967	0.9298021681357468	150
chr1-142540419-142540686	1.4256311900499445	0.35529410948403506	150
chr1-142540757-142540805	1.393105145238563	0.2877070705456991	150
chr1-142540810-142540951	1.4739311883324122	0.276090876858147	150
chr1-142540963-142541061	1.4791747482277329	0.45212913126961984	150
chr1-142541167-142541475	1.4089212883279534	0.31762301073556387	150
chr1-142541547-142541834	1.4156969660952128	0.33827342516280084	150
chr1-142541943-142542479	5.121680860697507	0.6950917732298398	150
chr1-142542008-142542498	1.661179602451623	0.6983568712687978	150
chr1-142542588-142542770	4.78882352485949	0.7021258192392457	150
chr1-142542933-142542990	1.4010611222041947	0.30084951164882895	150
chr1-142967018-142967135	1.434402824145775	0.276090876858147	150
chr1-142967248-142967440	2.222882663217837	0.9428820639041148	150
chr1-142967530-142967753	1.4043520206859614	0.30622380113259295	150
chr1-143146145-143146184	1.3904493646158633	0.2793416296556143	150
chr1-143191287-143191312	1.3894094427730124	0.2775710989487154	150
chr1-143471222-143471260	1.3912776938647569	0.28309110069540944	150
chr1-143964424-143964456	1.3904493646158633	0.2793416296556143	150
chr1-144166500-144166563	1.3904493646158633	0.2793416296556143	150
chr1-144185583-144185630	1.3904493646158633	0.2793416296556143	150
chr1-144203034-144203101	1.3890945026206731	0.276090876858147	150
chr1-144214176-144214231	1.3904493646158633	0.2793416296556143	150
chr1-144222116-144222181	1.389799508383934	0.27888375837620966	150
chr1-144340761-144340825	1.3916696562893132	0.28440754786887856	150
chr1-145152594-145152637	1.3904493646158633	0.2793416296556143	150
chr1-145305241-145305268	1.3910061881322093	0.2767762610206646	150
chr1-145324105-145324150	1.3907155657018389	0.2786049924872968	150
chr1-145338268-145338319	1.3894094427730124	0.2775710989487154	150
chr1-145342990-145343043	1.3904493646158633	0.2793416296556143	150
chr1-145347712-145347767	1.3904493646158633	0.2793416296556143	150
chr1-145352440-145352487	1.3894094427730124	0.2775710989487154	150
chr1-145363436-145363481	1.3910061881322093	0.2767762610206646	150
chr1-145387471-145387510	1.390144949755896	0.2794507948305276	150
chr1-145464185-145464214	1.3907155657018389	0.2786049924872968	150
chr1-145468948-145468973	1.3904493646158633	0.2793416296556143	150
chr1-146239190-146239227	1.3897995083839343	0.27888375837620977	150
chr1-146437206-146437264	1.389799508383934	0.27888375837620966	150
chr1-146497144-146497170	1.390144949755896	0.2794507948305276	150
chr1-147442723-147442802	1.389799508383934	0.27888375837620966	150
chr1-147587451-147587486	1.3907155657018389	0.2786049924872968	150
chr1-147752125-147752215	1.3905199435027225	0.2811819287303103	150
chr1-147776821-147776850	1.3907155657018389	0.2786049924872968	150
chr1-148015979-148016016	1.3910061881322093	0.2767762610206646	150
chr1-148253922-148253983	1.3907155657018389	0.2786049924872968	150
chr1-148258686-148258747	1.3894094427730124	0.2775710989487154	150
chr1-148268210-148268281	1.3924333399561344	0.28669395963568217	150
chr1-148592532-148592593	1.390144949755896	0.2794507948305276	150
chr1-148754588-148754637	1.3904493646158633	0.2793416296556143	150
chr1-149131670-149131768	1.3904493646158633	0.2793416296556143	150
chr1-149220726-149220766	1.3944646018117752	0.2812501339872069	150
chr1-149283474-149283501	1.390144949755896	0.2794507948305276	150
chr1-149337470-149337495	1.3890945026206731	0.276090876858147	150
chr1-149669421-149669449	1.3912308826414297	0.28241059787650097	150
chr1-149730907-149730932	1.3897995083839343	0.27888375837620977	150
chr1-14979049-14979183	1.4007886888189913	0.2975631716513202	150
chr1-150454518-150454548	1.3904493646158633	0.2793416296556143	150
chr1-150473778-150473808	1.3894094427730124	0.2775710989487154	150
chr1-15053946-15053992	1.3904493646158633	0.2793416296556143	150
chr1-150877538-150877580	1.3897995083839343	0.27888375837620977	150
chr1-150896386-150896422	1.3907155657018389	0.2786049924872968	150
chr1-151073056-151073082	1.3907155657018389	0.2786049924872968	150
chr1-151366645-151366705	1.4178006751759147	0.3420927710168749	150
chr1-151640302-151640327	1.3910889846462862	0.2803336823482735	150
chr1-151648286-151648321	1.392032122086782	0.2850136586984713	150
chr1-151648746-151648799	1.3890945026206731	0.276090876858147	150
chr1-152917087-152917157	1.3955650121852288	0.28547947381999983	150
chr1-15308913-15308943	1.3904493646158633	0.2793416296556143	150
chr1-153250912-153250973	1.3910889846462864	0.28033368234827355	150
chr1-15353566-15353595	1.390144949755896	0.2794507948305276	150
chr1-153630725-153630750	1.3890945026206731	0.276090876858147	150
chr1-153866431-153866458	1.389799508383934	0.27888375837620966	150
chr1-153999556-153999593	1.389799508383934	0.27888375837620966	150
chr1-154001851-154001877	1.389799508383934	0.27888375837620966	150
