#Gene	chrom	start	end	Pathogenic_Lower_Bound	Motif
GeneID,PathogenicLowerBound,SimulatedSize,STR_Tool,Rank,Zscore||Pval
AFF2,200,1200,EHDN_Locus,3,34.190
AFF2,200,200,EHDN_Locus,1,50.330
AFF2,200,210,EHDN_Locus,1,52.410
AFF2,200,220,EHDN_Locus,1,41.710
AFF2,200,250,EHDN_Locus,2,34.140
AFF2,200,300,EHDN_Locus,1,42.860
AFF2,200,1200,EHDN_Motif,1,141.520
AFF2,200,200,EHDN_Motif,4,12.900
AFF2,200,210,EHDN_Motif,1,20.370
AFF2,200,220,EHDN_Motif,1,22.540
AFF2,200,250,EHDN_Motif,1,17.220
AFF2,200,300,EHDN_Motif,1,21.520
AFF2,200,1200,STRetch,1,3.4e-27
AFF2,200,200,STRetch,1,1.9e-34
AFF2,200,210,STRetch,1,1.9e-34
AFF2,200,220,STRetch,1,7.8e-31
AFF2,200,250,STRetch,1,9.4e-28
AFF2,200,300,STRetch,1,1.1e-32
AFF3,300,1300,EHDN_Locus,3,37.510
AFF3,300,300,EHDN_Locus,1,35.370
AFF3,300,310,EHDN_Locus,2,26.760
AFF3,300,320,EHDN_Locus,2,33.230
AFF3,300,350,EHDN_Locus,2,33.210
AFF3,300,400,EHDN_Locus,2,34.280
AFF3,300,1300,EHDN_Motif,1,115.810
AFF3,300,300,EHDN_Motif,1,24.750
AFF3,300,310,EHDN_Motif,1,21.510
AFF3,300,320,EHDN_Motif,1,15.030
AFF3,300,350,EHDN_Motif,1,20.390
AFF3,300,400,EHDN_Motif,1,34.320
AFF3,300,1300,STRetch,1,6.5e-30
AFF3,300,300,STRetch,1,6.5e-30
AFF3,300,310,STRetch,1,1.5e-29
AFF3,300,320,STRetch,1,8.4e-29
AFF3,300,350,STRetch,1,5.6e-31
AFF3,300,400,STRetch,1,5e-28
ARX,20,1020,EHDN_Locus,3,34.300
ARX,20,120,EHDN_Locus,2,23.580
ARX,20,20,EHDN_Locus,0,0.000
ARX,20,30,EHDN_Locus,0,0.000
ARX,20,40,EHDN_Locus,0,0.000
ARX,20,70,EHDN_Locus,3,12.860
ARX,20,1020,EHDN_Motif,1,109.400
ARX,20,120,EHDN_Motif,0,0.000
ARX,20,20,EHDN_Motif,0,0.000
ARX,20,30,EHDN_Motif,0,0.000
ARX,20,40,EHDN_Motif,0,0.000
ARX,20,70,EHDN_Motif,0,0.000
ARX,20,1020,STRetch,1,7.6e-44
ARX,20,120,STRetch,1,3.4e-43
ARX,20,20,STRetch,10,1.4e-12
ARX,20,30,STRetch,1,9.8e-28
ARX,20,40,STRetch,5,1.1e-18
ARX,20,70,STRetch,1,1.5e-42
ATN1,48,1048,EHDN_Locus,1,45.020
ATN1,48,148,EHDN_Locus,2,36.440
ATN1,48,48,EHDN_Locus,8,9.650
ATN1,48,58,EHDN_Locus,3,17.150
ATN1,48,68,EHDN_Locus,4,11.790
ATN1,48,98,EHDN_Locus,2,22.510
ATN1,48,1048,EHDN_Motif,1,30.840
ATN1,48,148,EHDN_Motif,10,3.450
ATN1,48,48,EHDN_Motif,0,0.000
ATN1,48,58,EHDN_Motif,0,0.000
ATN1,48,68,EHDN_Motif,0,0.000
ATN1,48,98,EHDN_Motif,0,0.000
ATN1,48,1048,STRetch,1,4.5e-48
ATN1,48,148,STRetch,1,1.5e-42
ATN1,48,48,STRetch,3,9.8e-24
ATN1,48,58,STRetch,1,9.3e-29
ATN1,48,68,STRetch,3,9.8e-24
ATN1,48,98,STRetch,1,3.9e-35
ATXN1,39,1039,EHDN_Locus,2,34.300
ATXN1,39,139,EHDN_Locus,2,38.580
ATXN1,39,39,EHDN_Locus,0,0.000
ATXN1,39,49,EHDN_Locus,52,3.200
ATXN1,39,59,EHDN_Locus,16,5.360
ATXN1,39,89,EHDN_Locus,3,16.070
ATXN1,39,1039,EHDN_Motif,1,137.780
ATXN1,39,139,EHDN_Motif,11,3.240
ATXN1,39,39,EHDN_Motif,0,0.000
ATXN1,39,49,EHDN_Motif,0,0.000
ATXN1,39,59,EHDN_Motif,0,0.000
ATXN1,39,89,EHDN_Motif,0,0.000
ATXN1,39,1039,STRetch,1,2.1e-47
ATXN1,39,139,STRetch,1,1.6e-49
ATXN1,39,39,STRetch,1,1.1e-31
ATXN1,39,49,STRetch,1,6.8e-30
ATXN1,39,59,STRetch,1,1.1e-31
ATXN1,39,89,STRetch,1,1.5e-36
ATXN10,280,1280,EHDN_Locus,10,8.570
ATXN10,280,280,EHDN_Locus,4,11.790
ATXN10,280,290,EHDN_Locus,8,9.650
ATXN10,280,300,EHDN_Locus,9,8.570
